test_num	test_date	gen_tps	ttft	ttft_unit	prompt_tps	localscore	model_name	model_quant	model_params	model_params_unit	accel_name	accel_type	accel_ram	accel_ram_unit	system_cpu	system_ram	system_ram_unit	system_os
1148	2025.06.28 22:13	5.8	80160	ms	17	11	Qwen2.5 Coder 1.5B Instruct GGUF	Q8_0	1800	M	Intel Xeon Platinum 8259CL CPU @ 2.50GHz (skylake-avx512)	CPU	15.2	GB	Intel Xeon Platinum 8259CL CPU @ 2.50GHz (skylake-avx512)	15.2	GB	Linux
885	2025.05.16 11:00	7.2	89630	ms	18	11	Qwen3 0.6B	Q8_0	752	M	ZHAOXIN KaiXian KX-U6780A@2.7GHz	CPU	7.3	GB	ZHAOXIN KaiXian KX-U6780A@2.7GHz	7.3	GB	Linux
703	2025.04.12 22:22	1.5	94100	ms	14	6	Gemma 3 27b It	Q8_0	28400	M	Intel Xeon CPU E5-2667 v4 @ 3.20GHz (broadwell)	CPU	125.8	GB	Intel Xeon CPU E5-2667 v4 @ 3.20GHz (broadwell)	125.8	GB	Linux
227	2025.04.04 05:28	2.9	99920	ms	14	7	Qwen2.5 14B Instruct	Q8_0	14800	M	Intel Xeon CPU E5-2697 v2 @ 2.70GHz (ivybridge)	CPU	251.8	GB	Intel Xeon CPU E5-2697 v2 @ 2.70GHz (ivybridge)	251.8	GB	Linux
233	2025.04.04 16:34	2.9	100450	ms	14	7	DeepSeek R1 Distill Qwen 14B	Q8_0	14800	M	Intel Xeon CPU E5-2697 v2 @ 2.70GHz (ivybridge)	CPU	251.8	GB	Intel Xeon CPU E5-2697 v2 @ 2.70GHz (ivybridge)	251.8	GB	Linux
697	2025.04.12 06:16	3.3	100550	ms	14	8	DeepSeek R1 Distill Llama 8B	Q8_0	8000	M	Intel Core i5-8600 CPU @ 3.10GHz (skylake)	CPU	31.7	GB	Intel Core i5-8600 CPU @ 3.10GHz (skylake)	31.7	GB	Windows
695	2025.04.12 00:09	1.2	114270	ms	12	5	QwQ 32B	Q8_0	32800	M	Intel Xeon CPU E5-2667 v4 @ 3.20GHz (broadwell)	CPU	125.8	GB	Intel Xeon CPU E5-2667 v4 @ 3.20GHz (broadwell)	125.8	GB	Linux
1143	2025.06.28 17:41	2.9	175090	ms	8	5	driaforall.Dria Agent A 3B	Q8_0	3400	M	Intel Xeon Platinum 8259CL CPU @ 2.50GHz (skylake-avx512)	CPU	15.2	GB	Intel Xeon Platinum 8259CL CPU @ 2.50GHz (skylake-avx512)	15.2	GB	Linux
214	2025.04.03 23:54	1.7	185430	ms	7	4	Gemma 3 27b It	Q8_0	28400	M	Intel Xeon CPU E5-2697 v2 @ 2.70GHz (ivybridge)	CPU	251.8	GB	Intel Xeon CPU E5-2697 v2 @ 2.70GHz (ivybridge)	251.8	GB	Linux
222	2025.04.04 03:50	1.3	234430	ms	6	3	Qwen2.5 Coder 32B Instruct AWQ	Q8_0	32800	M	Intel Xeon CPU E5-2697 v2 @ 2.70GHz (ivybridge)	CPU	251.8	GB	Intel Xeon CPU E5-2697 v2 @ 2.70GHz (ivybridge)	251.8	GB	Linux
1128	2025.06.25 22:31	1.9	258670	ms	5	3	Qwen3 4B	Q8_0	4400	M	Intel Xeon Platinum 8259CL CPU @ 2.50GHz (skylake-avx512)	CPU	15.2	GB	Intel Xeon Platinum 8259CL CPU @ 2.50GHz (skylake-avx512)	15.2	GB	Linux
1157	2025.06.30 08:55	1.6	374850	ms	4	2	katanemo.Arch Agent 7B	Q8_0	7600	M	Intel Xeon Platinum 8259CL CPU @ 2.50GHz (skylake-avx512)	CPU	15.2	GB	Intel Xeon Platinum 8259CL CPU @ 2.50GHz (skylake-avx512)	15.2	GB	Linux
256	2025.04.05 00:19	0.7	489670	ms	3	2	Llama 3.3 70B Instruct	Q8_0	70600	M	Intel Xeon CPU E5-2697 v2 @ 2.70GHz (ivybridge)	CPU	251.8	GB	Intel Xeon CPU E5-2697 v2 @ 2.70GHz (ivybridge)	251.8	GB	Linux
